family=apollo organism=gender_secret_female default=l_38_lm_500000_ar_lr | val n=2500 alpaca n=2500 train n=None
l_38_lm_100000_ar_lr                       hsL      mean       AUROC full=0.9906 first500=0.9940 boot=0.9906±0.0018 | sweep=0.9815 || BA full=0.974 first500=0.975 sweep=0.935 | TPR/FPR full=0.965/0.016 sweep=0.970/0.100 | thr stored=-0.38 p99=-0.39 fpr@stored=0.0101
l_38_lm_100000_ar_lr                       hsL      mean_imend AUROC full=0.9906 first500=0.9940 boot=0.9905±0.0019 | sweep=0.9815 || BA full=0.973 first500=0.972 sweep=0.935 | TPR/FPR full=0.961/0.016 sweep=0.970/0.100 | thr stored=-0.38 p99=-0.39 fpr@stored=0.0097
l_38_lm_100000_ar_lr                       hsL      last       AUROC full=0.9825 first500=0.9841 boot=0.9825±0.0026 | sweep=0.9815 || BA full=0.938 first500=0.940 sweep=0.935 | TPR/FPR full=0.901/0.025 sweep=0.970/0.100 | thr stored=-0.38 p99=-0.43 fpr@stored=0.0020
l_38_lm_100000_ar_lr                       hsL      first      AUROC full=0.9763 first500=0.9777 boot=0.9765±0.0034 | sweep=0.9815 || BA full=0.946 first500=0.947 sweep=0.935 | TPR/FPR full=0.906/0.014 sweep=0.970/0.100 | thr stored=-0.38 p99=-0.40 fpr@stored=0.0065
l_38_lm_100000_ar_lr                       outL     mean       AUROC full=0.9910 first500=0.9941 boot=0.9908±0.0019 | sweep=0.9815 || BA full=0.969 first500=0.968 sweep=0.935 | TPR/FPR full=0.953/0.014 sweep=0.970/0.100 | thr stored=-0.38 p99=-0.38 fpr@stored=0.0101
l_38_lm_100000_ar_lr                       outL     mean_imend AUROC full=0.9910 first500=0.9940 boot=0.9912±0.0018 | sweep=0.9815 || BA full=0.969 first500=0.967 sweep=0.935 | TPR/FPR full=0.952/0.014 sweep=0.970/0.100 | thr stored=-0.38 p99=-0.39 fpr@stored=0.0101
l_38_lm_100000_ar_lr                       outL     last       AUROC full=0.9829 first500=0.9849 boot=0.9829±0.0025 | sweep=0.9815 || BA full=0.939 first500=0.945 sweep=0.935 | TPR/FPR full=0.892/0.014 sweep=0.970/0.100 | thr stored=-0.38 p99=-0.42 fpr@stored=0.0028
l_38_lm_100000_ar_lr                       outL     first      AUROC full=0.9802 first500=0.9815 boot=0.9797±0.0031 | sweep=0.9815 || BA full=0.938 first500=0.940 sweep=0.935 | TPR/FPR full=0.891/0.014 sweep=0.970/0.100 | thr stored=-0.38 p99=-0.41 fpr@stored=0.0044
l_38_ar_mlp_wd_0_001_lr_0_01_ep_100        hsL      mean       AUROC full=0.9915 first500=0.9941 boot=0.9915±0.0018 | sweep=0.9790 || BA full=0.962 first500=0.962 sweep=0.937 | TPR/FPR full=0.938/0.014 sweep=0.942/0.068 | thr stored=-370.95 p99=-349.82 fpr@stored=0.0125
l_38_ar_mlp_wd_0_001_lr_0_01_ep_100        hsL      mean_imend AUROC full=0.9914 first500=0.9940 boot=0.9914±0.0017 | sweep=0.9790 || BA full=0.960 first500=0.957 sweep=0.937 | TPR/FPR full=0.934/0.014 sweep=0.942/0.068 | thr stored=-370.95 p99=-356.95 fpr@stored=0.0117
l_38_ar_mlp_wd_0_001_lr_0_01_ep_100        hsL      last       AUROC full=0.9831 first500=0.9846 boot=0.9831±0.0022 | sweep=0.9790 || BA full=0.945 first500=0.944 sweep=0.937 | TPR/FPR full=0.925/0.035 sweep=0.942/0.068 | thr stored=-370.95 p99=-406.39 fpr@stored=0.0048
l_38_ar_mlp_wd_0_001_lr_0_01_ep_100        hsL      first      AUROC full=0.9862 first500=0.9870 boot=0.9860±0.0027 | sweep=0.9790 || BA full=0.928 first500=0.938 sweep=0.937 | TPR/FPR full=0.864/0.008 sweep=0.942/0.068 | thr stored=-370.95 p99=-297.20 fpr@stored=0.0165
l_38_ar_mlp_wd_0_001_lr_0_01_ep_100        outL     mean       AUROC full=0.9914 first500=0.9940 boot=0.9916±0.0016 | sweep=0.9790 || BA full=0.946 first500=0.940 sweep=0.937 | TPR/FPR full=0.905/0.013 sweep=0.942/0.068 | thr stored=-370.95 p99=-371.37 fpr@stored=0.0101
l_38_ar_mlp_wd_0_001_lr_0_01_ep_100        outL     mean_imend AUROC full=0.9912 first500=0.9939 boot=0.9911±0.0016 | sweep=0.9790 || BA full=0.946 first500=0.941 sweep=0.937 | TPR/FPR full=0.903/0.011 sweep=0.942/0.068 | thr stored=-370.95 p99=-371.69 fpr@stored=0.0101
l_38_ar_mlp_wd_0_001_lr_0_01_ep_100        outL     last       AUROC full=0.9813 first500=0.9834 boot=0.9815±0.0026 | sweep=0.9790 || BA full=0.943 first500=0.945 sweep=0.937 | TPR/FPR full=0.935/0.049 sweep=0.942/0.068 | thr stored=-370.95 p99=-283.81 fpr@stored=0.0448
l_38_ar_mlp_wd_0_001_lr_0_01_ep_100        outL     first      AUROC full=0.9868 first500=0.9876 boot=0.9865±0.0024 | sweep=0.9790 || BA full=0.904 first500=0.919 sweep=0.937 | TPR/FPR full=0.816/0.008 sweep=0.942/0.068 | thr stored=-370.95 p99=-352.89 fpr@stored=0.0121
l_44_ar_dim                                hsL      mean       AUROC full=0.9875 first500=0.9878 boot=0.9874±0.0017 | sweep=0.9696 || BA full=0.739 first500=0.747 sweep=0.803 | TPR/FPR full=0.480/0.003 sweep=0.620/0.014 | thr stored=45.82 p99=43.11 fpr@stored=0.0077
l_44_ar_dim                                hsL      mean_imend AUROC full=0.9868 first500=0.9870 boot=0.9868±0.0018 | sweep=0.9696 || BA full=0.705 first500=0.721 sweep=0.803 | TPR/FPR full=0.414/0.003 sweep=0.620/0.014 | thr stored=45.82 p99=42.09 fpr@stored=0.0073
l_44_ar_dim                                hsL      last       AUROC full=0.9898 first500=0.9915 boot=0.9899±0.0018 | sweep=0.9696 || BA full=0.566 first500=0.573 sweep=0.803 | TPR/FPR full=0.131/0.000 sweep=0.620/0.014 | thr stored=45.82 p99=-43.75 fpr@stored=0.0004
l_44_ar_dim                                hsL      first      AUROC full=0.9685 first500=0.9677 boot=0.9688±0.0039 | sweep=0.9696 || BA full=0.603 first500=0.606 sweep=0.803 | TPR/FPR full=0.206/0.000 sweep=0.620/0.014 | thr stored=45.82 p99=-15.52 fpr@stored=0.0004
l_44_ar_dim                                outL     mean       AUROC full=0.9893 first500=0.9896 boot=0.9892±0.0016 | sweep=0.9696 || BA full=0.802 first500=0.815 sweep=0.803 | TPR/FPR full=0.608/0.005 sweep=0.620/0.014 | thr stored=45.82 p99=45.40 fpr@stored=0.0093
l_44_ar_dim                                outL     mean_imend AUROC full=0.9889 first500=0.9893 boot=0.9890±0.0016 | sweep=0.9696 || BA full=0.777 first500=0.789 sweep=0.803 | TPR/FPR full=0.559/0.005 sweep=0.620/0.014 | thr stored=45.82 p99=45.14 fpr@stored=0.0089
l_44_ar_dim                                outL     last       AUROC full=0.9905 first500=0.9922 boot=0.9906±0.0017 | sweep=0.9696 || BA full=0.614 first500=0.627 sweep=0.803 | TPR/FPR full=0.230/0.002 sweep=0.620/0.014 | thr stored=45.82 p99=-43.04 fpr@stored=0.0004
l_44_ar_dim                                outL     first      AUROC full=0.9766 first500=0.9760 boot=0.9764±0.0033 | sweep=0.9696 || BA full=0.647 first500=0.654 sweep=0.803 | TPR/FPR full=0.295/0.002 sweep=0.620/0.014 | thr stored=45.82 p99=-9.61 fpr@stored=0.0004
l_44_lm_100000_ar_lr                       hsL      mean       AUROC full=0.9897 first500=0.9921 boot=0.9899±0.0019 | sweep=0.9751 || BA full=0.974 first500=0.976 sweep=0.930 | TPR/FPR full=0.963/0.014 sweep=0.982/0.122 | thr stored=-0.26 p99=-0.28 fpr@stored=0.0060
l_44_lm_100000_ar_lr                       hsL      mean_imend AUROC full=0.9900 first500=0.9922 boot=0.9897±0.0018 | sweep=0.9751 || BA full=0.973 first500=0.975 sweep=0.930 | TPR/FPR full=0.961/0.014 sweep=0.982/0.122 | thr stored=-0.26 p99=-0.29 fpr@stored=0.0052
l_44_lm_100000_ar_lr                       hsL      last       AUROC full=0.9880 first500=0.9912 boot=0.9880±0.0021 | sweep=0.9751 || BA full=0.962 first500=0.969 sweep=0.930 | TPR/FPR full=0.937/0.013 sweep=0.982/0.122 | thr stored=-0.26 p99=-0.34 fpr@stored=0.0004
l_44_lm_100000_ar_lr                       hsL      first      AUROC full=0.9783 first500=0.9794 boot=0.9785±0.0032 | sweep=0.9751 || BA full=0.942 first500=0.943 sweep=0.930 | TPR/FPR full=0.917/0.033 sweep=0.982/0.122 | thr stored=-0.26 p99=-0.30 fpr@stored=0.0056
l_44_lm_100000_ar_lr                       outL     mean       AUROC full=0.9903 first500=0.9921 boot=0.9902±0.0020 | sweep=0.9751 || BA full=0.978 first500=0.980 sweep=0.930 | TPR/FPR full=0.970/0.014 sweep=0.982/0.122 | thr stored=-0.26 p99=-0.26 fpr@stored=0.0097
l_44_lm_100000_ar_lr                       outL     mean_imend AUROC full=0.9904 first500=0.9921 boot=0.9904±0.0018 | sweep=0.9751 || BA full=0.978 first500=0.980 sweep=0.930 | TPR/FPR full=0.970/0.014 sweep=0.982/0.122 | thr stored=-0.26 p99=-0.26 fpr@stored=0.0093
l_44_lm_100000_ar_lr                       outL     last       AUROC full=0.9883 first500=0.9916 boot=0.9882±0.0023 | sweep=0.9751 || BA full=0.972 first500=0.976 sweep=0.930 | TPR/FPR full=0.959/0.014 sweep=0.982/0.122 | thr stored=-0.26 p99=-0.33 fpr@stored=0.0012
l_44_lm_100000_ar_lr                       outL     first      AUROC full=0.9840 first500=0.9853 boot=0.9837±0.0029 | sweep=0.9751 || BA full=0.955 first500=0.957 sweep=0.930 | TPR/FPR full=0.946/0.035 sweep=0.982/0.122 | thr stored=-0.26 p99=-0.28 fpr@stored=0.0081
l_44_ar_mlp_wd_0_001_lr_0_001_ep_100       hsL      mean       AUROC full=0.9887 first500=0.9917 boot=0.9889±0.0021 | sweep=0.9720 || BA full=0.959 first500=0.964 sweep=0.936 | TPR/FPR full=0.929/0.011 sweep=0.974/0.102 | thr stored=-7.47 p99=-8.23 fpr@stored=0.0056
l_44_ar_mlp_wd_0_001_lr_0_001_ep_100       hsL      mean_imend AUROC full=0.9888 first500=0.9917 boot=0.9890±0.0021 | sweep=0.9720 || BA full=0.953 first500=0.954 sweep=0.936 | TPR/FPR full=0.917/0.011 sweep=0.974/0.102 | thr stored=-7.47 p99=-8.46 fpr@stored=0.0048
l_44_ar_mlp_wd_0_001_lr_0_001_ep_100       hsL      last       AUROC full=0.9863 first500=0.9906 boot=0.9863±0.0026 | sweep=0.9720 || BA full=0.897 first500=0.908 sweep=0.936 | TPR/FPR full=0.802/0.008 sweep=0.974/0.102 | thr stored=-7.47 p99=-12.96 fpr@stored=0.0004
l_44_ar_mlp_wd_0_001_lr_0_001_ep_100       hsL      first      AUROC full=0.9743 first500=0.9763 boot=0.9742±0.0030 | sweep=0.9720 || BA full=0.914 first500=0.924 sweep=0.936 | TPR/FPR full=0.843/0.016 sweep=0.974/0.102 | thr stored=-7.47 p99=-8.82 fpr@stored=0.0060
l_44_ar_mlp_wd_0_001_lr_0_001_ep_100       outL     mean       AUROC full=0.9891 first500=0.9919 boot=0.9887±0.0023 | sweep=0.9720 || BA full=0.969 first500=0.969 sweep=0.936 | TPR/FPR full=0.952/0.014 sweep=0.974/0.102 | thr stored=-7.47 p99=-7.48 fpr@stored=0.0101
l_44_ar_mlp_wd_0_001_lr_0_001_ep_100       outL     mean_imend AUROC full=0.9891 first500=0.9918 boot=0.9892±0.0020 | sweep=0.9720 || BA full=0.968 first500=0.968 sweep=0.936 | TPR/FPR full=0.951/0.014 sweep=0.974/0.102 | thr stored=-7.47 p99=-7.52 fpr@stored=0.0097
l_44_ar_mlp_wd_0_001_lr_0_001_ep_100       outL     last       AUROC full=0.9871 first500=0.9910 boot=0.9869±0.0023 | sweep=0.9720 || BA full=0.937 first500=0.941 sweep=0.936 | TPR/FPR full=0.885/0.011 sweep=0.974/0.102 | thr stored=-7.47 p99=-12.79 fpr@stored=0.0004
l_44_ar_mlp_wd_0_001_lr_0_001_ep_100       outL     first      AUROC full=0.9812 first500=0.9837 boot=0.9809±0.0027 | sweep=0.9720 || BA full=0.942 first500=0.946 sweep=0.936 | TPR/FPR full=0.904/0.021 sweep=0.974/0.102 | thr stored=-7.47 p99=-7.55 fpr@stored=0.0101
l_57_ar_dim                                hsL      mean       AUROC full=0.6603 first500=0.6647 boot=0.6606±0.0114 | sweep=0.6276 || BA full=0.552 first500=0.554 sweep=0.543 | TPR/FPR full=0.108/0.003 sweep=0.090/0.004 | thr stored=105.97 p99=104.99 fpr@stored=0.0101
l_57_ar_dim                                hsL      mean_imend AUROC full=0.6592 first500=0.6632 boot=0.6595±0.0115 | sweep=0.6276 || BA full=0.552 first500=0.554 sweep=0.543 | TPR/FPR full=0.107/0.003 sweep=0.090/0.004 | thr stored=105.97 p99=100.43 fpr@stored=0.0101
l_57_ar_dim                                hsL      last       AUROC full=0.7252 first500=0.7363 boot=0.7260±0.0109 | sweep=0.6276 || BA full=0.536 first500=0.541 sweep=0.543 | TPR/FPR full=0.072/0.000 sweep=0.090/0.004 | thr stored=105.97 p99=-207.60 fpr@stored=0.0024
l_57_ar_dim                                hsL      first      AUROC full=0.6527 first500=0.6580 boot=0.6529±0.0120 | sweep=0.6276 || BA full=0.527 first500=0.528 sweep=0.543 | TPR/FPR full=0.053/0.000 sweep=0.090/0.004 | thr stored=105.97 p99=-5.00 fpr@stored=0.0056
l_57_ar_dim                                outL     mean       AUROC full=0.6527 first500=0.6576 boot=0.6527±0.0120 | sweep=0.6276 || BA full=0.552 first500=0.553 sweep=0.543 | TPR/FPR full=0.107/0.003 sweep=0.090/0.004 | thr stored=105.97 p99=106.54 fpr@stored=0.0101
l_57_ar_dim                                outL     mean_imend AUROC full=0.6522 first500=0.6565 boot=0.6517±0.0102 | sweep=0.6276 || BA full=0.550 first500=0.553 sweep=0.543 | TPR/FPR full=0.103/0.003 sweep=0.090/0.004 | thr stored=105.97 p99=98.90 fpr@stored=0.0097
l_57_ar_dim                                outL     last       AUROC full=0.7109 first500=0.7238 boot=0.7102±0.0100 | sweep=0.6276 || BA full=0.534 first500=0.539 sweep=0.543 | TPR/FPR full=0.069/0.000 sweep=0.090/0.004 | thr stored=105.97 p99=-234.01 fpr@stored=0.0016
l_57_ar_dim                                outL     first      AUROC full=0.6536 first500=0.6582 boot=0.6539±0.0104 | sweep=0.6276 || BA full=0.530 first500=0.529 sweep=0.543 | TPR/FPR full=0.061/0.002 sweep=0.090/0.004 | thr stored=105.97 p99=-33.52 fpr@stored=0.0056
l_57_lm_500000_ar_lr                       hsL      mean       AUROC full=0.8517 first500=0.8487 boot=0.8517±0.0072 | sweep=0.8338 || BA full=0.625 first500=0.638 sweep=0.661 | TPR/FPR full=0.257/0.008 sweep=0.334/0.012 | thr stored=-0.06 p99=-0.06 fpr@stored=0.0093
l_57_lm_500000_ar_lr                       hsL      mean_imend AUROC full=0.8497 first500=0.8467 boot=0.8503±0.0082 | sweep=0.8338 || BA full=0.614 first500=0.629 sweep=0.661 | TPR/FPR full=0.236/0.008 sweep=0.334/0.012 | thr stored=-0.06 p99=-0.06 fpr@stored=0.0089
l_57_lm_500000_ar_lr                       hsL      last       AUROC full=0.9214 first500=0.9255 boot=0.9212±0.0058 | sweep=0.8338 || BA full=0.642 first500=0.656 sweep=0.661 | TPR/FPR full=0.284/0.000 sweep=0.334/0.012 | thr stored=-0.06 p99=-0.09 fpr@stored=0.0016
l_57_lm_500000_ar_lr                       hsL      first      AUROC full=0.7946 first500=0.7959 boot=0.7948±0.0085 | sweep=0.8338 || BA full=0.627 first500=0.636 sweep=0.661 | TPR/FPR full=0.285/0.032 sweep=0.334/0.012 | thr stored=-0.06 p99=-0.05 fpr@stored=0.0117
l_57_lm_500000_ar_lr                       outL     mean       AUROC full=0.8492 first500=0.8464 boot=0.8491±0.0075 | sweep=0.8338 || BA full=0.629 first500=0.644 sweep=0.661 | TPR/FPR full=0.271/0.013 sweep=0.334/0.012 | thr stored=-0.06 p99=-0.06 fpr@stored=0.0101
l_57_lm_500000_ar_lr                       outL     mean_imend AUROC full=0.8480 first500=0.8456 boot=0.8488±0.0079 | sweep=0.8338 || BA full=0.618 first500=0.635 sweep=0.661 | TPR/FPR full=0.246/0.010 sweep=0.334/0.012 | thr stored=-0.06 p99=-0.06 fpr@stored=0.0097
l_57_lm_500000_ar_lr                       outL     last       AUROC full=0.9002 first500=0.9077 boot=0.9002±0.0055 | sweep=0.8338 || BA full=0.616 first500=0.626 sweep=0.661 | TPR/FPR full=0.234/0.002 sweep=0.334/0.012 | thr stored=-0.06 p99=-0.09 fpr@stored=0.0016
l_57_lm_500000_ar_lr                       outL     first      AUROC full=0.7892 first500=0.7910 boot=0.7889±0.0083 | sweep=0.8338 || BA full=0.638 first500=0.650 sweep=0.661 | TPR/FPR full=0.323/0.046 sweep=0.334/0.012 | thr stored=-0.06 p99=-0.05 fpr@stored=0.0169
l_57_ar_mlp_wd_0_001_lr_1e-05_ep_500       hsL      mean       AUROC full=0.8477 first500=0.8498 boot=0.8468±0.0072 | sweep=0.8219 || BA full=0.694 first500=0.714 sweep=0.695 | TPR/FPR full=0.424/0.035 sweep=0.426/0.036 | thr stored=-1.74 p99=-1.69 fpr@stored=0.0117
l_57_ar_mlp_wd_0_001_lr_1e-05_ep_500       hsL      mean_imend AUROC full=0.8439 first500=0.8462 boot=0.8438±0.0079 | sweep=0.8219 || BA full=0.686 first500=0.701 sweep=0.695 | TPR/FPR full=0.397/0.025 sweep=0.426/0.036 | thr stored=-1.74 p99=-1.72 fpr@stored=0.0105
l_57_ar_mlp_wd_0_001_lr_1e-05_ep_500       hsL      last       AUROC full=0.8755 first500=0.8860 boot=0.8762±0.0072 | sweep=0.8219 || BA full=0.562 first500=0.569 sweep=0.695 | TPR/FPR full=0.123/0.000 sweep=0.426/0.036 | thr stored=-1.74 p99=-4.62 fpr@stored=0.0008
